,Controller1.dump,Controller1.res_load,Battery1.soc,Controller1.flow2b,PV1.pv_gen,Wind1.wind_gen,Load1.load_dem,Grid1.flag_warning,Consumption_kW,Energy_MWh,CO2_Intensity,CO2_emissions_kg,Cumulative_CO2_kg,Cumulative_CO2_tonnes
2012-01-01 08:00:00,-0.0,19.88541968839321,17.461,-19.88541968839321,0.0,0.4654202116067912,20.3508399,0,0.0,0.0,226.21910002106975,0.0,10.342739572943188,0.010342739572943188
2012-01-01 08:15:00,-0.0,49.44036130433887,16.909,-49.44036130433887,0.0,0.476679895661131,49.9170412,0,0.0,0.0,227.647472688015,0.0,10.342739572943188,0.010342739572943188
2012-01-01 08:30:00,-0.0,51.05227865054676,15.536,-51.05227865054676,0.0,0.4754199494532479,51.52769860000001,0,0.0,0.0,228.85232947170323,0.0,10.342739572943188,0.010342739572943188
2012-01-01 08:45:00,-2.8384040504626213,44.01840405046262,14.118,-41.18,0.0,0.4163662495373838,44.4347703,0,2.8384040504626213,0.0007096010126156553,229.8173470928265,0.16307862221371322,10.505818195156902,0.010505818195156901
2012-01-01 09:00:00,-0.0,23.602559790382102,12.974,-23.602559790382102,0.0,0.3278611096178948,23.9304209,0,0.0,0.0,230.12256818552765,0.0,10.505818195156902,0.010505818195156901
2012-01-01 09:15:00,-6.068604490382111,29.248604490382107,12.318,-23.18,0.694,0.3278611096178948,30.2704656,0,6.068604490382111,0.0015171511225955277,229.87296791126093,0.34875203132093524,10.854570226477836,0.010854570226477836
2012-01-01 09:30:00,-10.608380477119464,27.34838047711946,11.674,-16.739999999999995,1.213,0.3337921228805426,28.8951726,0,10.608380477119464,0.002652095119279866,229.1539114329012,0.607737970075088,11.462308196552925,0.011462308196552926
2012-01-01 09:45:00,-5.786609497046722,17.87660949704672,11.209,-12.089999999999996,1.559,0.3011107029532797,19.7367202,0,5.786609497046722,0.0014466523742616806,228.93668558712753,0.3311917997602179,11.793499996313143,0.011793499996313142
2012-01-01 10:00:00,-12.412032540222746,21.14203254022274,10.873,-8.729999999999993,1.472,0.3133418597772607,22.9273744,0,12.412032540222746,0.0031030081350556867,229.709908264003,0.7127917140460968,12.506291710359239,0.01250629171035924
2012-01-01 10:15:00,-13.787343544799995,20.087343544800003,10.63,-6.300000000000008,2.078,0.3308177551999988,22.4961613,0,13.787343544799995,0.003446835886199999,230.30446477218408,0.7938216939288475,13.300113404288087,0.013300113404288088
2012-01-01 10:30:00,-13.032356810346368,17.58235681034637,10.455,-4.550000000000001,3.287,0.2235194896536315,21.0928763,0,13.032356810346368,0.003258089202586592,230.27440464834424,0.7502545514168262,14.050367955704914,0.014050367955704914
2012-01-01 10:45:00,-5.89142449268588,9.181424492685888,10.329,-3.2900000000000063,3.372,0.2304399073141135,12.7838644,0,5.89142449268588,0.00147285612317147,230.40939897135732,0.33935989411122186,14.389727849816136,0.014389727849816136
2012-01-01 11:00:00,-1.6697773920271564,4.049777392027152,10.238,-2.3799999999999955,4.751,0.3740957079728464,9.1748731,0,1.6697773920271564,0.00041744434800678907,230.14362200046145,0.09607215423390354,14.48580000405004,0.01448580000405004
2012-01-01 11:15:00,-7.243909989892774,8.96390998989278,10.172,-1.720000000000006,4.836,0.2520552101072198,14.0519652,0,7.243909989892774,0.0018109774974731936,230.35585180106276,0.4171692640229945,14.902969268073035,0.014902969268073035
2012-01-01 11:30:00,-56.61135430424443,57.85135430424443,10.124,-1.2400000000000055,6.126,0.2273467957555686,64.2047011,0,56.61135430424443,0.014152838576061108,231.4099807090971,3.2751081018652664,18.1780773699383,0.0181780773699383
2012-01-01 11:45:00,-51.814564972336925,52.71456497233692,10.09,-0.8999999999999986,5.78,0.3085991276630688,58.8031641,0,51.814564972336925,0.012953641243084232,232.32454721179695,3.0094488365436027,21.187526206481902,0.021187526206481903
2012-01-01 12:00:00,-13.620564713341672,14.270564713341669,10.065,-0.649999999999995,4.404,0.2115611866583335,18.8861259,0,13.620564713341672,0.003405141178335418,233.27717476870086,0.7943417137706513,21.981867920252554,0.021981867920252553
2012-01-01 12:15:00,-18.25129057826876,18.721290578268768,10.047,-0.4700000000000059,6.642,0.2964925217312317,25.6597831,0,18.25129057826876,0.00456282264456719,233.3668384556956,1.0648114949967011,23.046679415249255,0.023046679415249256
2012-01-01 12:30:00,-11.40311557826876,11.743115578268768,10.034,-0.3400000000000069,5.608,0.2964925217312317,17.6476081,0,11.40311557826876,0.0028507788945671903,233.0130789147263,0.664268767528221,23.710948182777475,0.023710948182777476
2012-01-01 12:45:00,-39.00472677138393,39.25472677138393,10.025,-0.2500000000000035,5.694,0.3387889286160684,45.2875157,0,39.00472677138393,0.009751181692845983,233.5483400132916,2.277372297532178,25.988320480309653,0.025988320480309652
2012-01-01 13:00:00,-52.41098968559398,52.59098968559399,10.018,-0.1800000000000068,6.64,0.3582314144060115,59.5892211,0,52.41098968559398,0.013102747421398496,233.79166118675792,3.063313085759263,29.051633566068915,0.029051633566068914
2012-01-01 13:15:00,-0.0,-237.1992761,10.013,237.1992761,7.329,300.0,70.1297239,0,0.0,0.0,234.41624539374004,0.0,29.051633566068915,0.029051633566068914
2012-01-01 13:30:00,-55.46688804007816,78.09688804007816,12.263,-22.63,6.385,0.4604733599218347,84.9423614,0,55.46688804007816,0.01386672201001954,234.2474919985477,3.2482448530881376,32.299878419157054,0.03229987841915705
2012-01-01 13:45:00,-30.167514939000625,46.50751493900063,11.634,-16.340000000000003,4.403,0.538440060999373,51.448955,0,30.167514939000625,0.007541878734750157,234.38329225775965,1.7676903676595286,34.06756878681658,0.03406756878681658
2012-01-01 14:00:00,-28.38828706426341,40.188287064263406,11.18,-11.799999999999995,5.523,0.5128685357365936,46.2241556,0,28.38828706426341,0.007097071766065852,234.1395513331164,1.6617051990855867,35.72927398590217,0.03572927398590217
